Tag,Name,Oldprice,Newprice,Category,Imgurl
9 % off,SAMSUNG J5 2016 EDITION (J510F)  16 GB / 2GB RAM/13MP CAMERA,25490,23133,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/57bc36f899881_Samsung-Galaxy-J5-SM-J510F-2016.jpg
1 % off,SAMSUNG A5 (A5000H) / 2GB RAM/ 13MP CAMERA /16 GB MEMORY,23741,23441,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/57bc34c85ea6d_a5a5000h.jpg
9 % off,SAMSUNG J7 (J700H),22900,20911,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/57bc2f01632cf_item_XL_8781578_8886337.jpg
9 % off,SAMSUNG TAB J MAX (T285),21900,19899,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/57bc3093bcf4d_jmax tablet.jpg
2 % off,SAMSUNG J3 (J320F) 2016,16141,15841,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/57bc2774b4643_Samsung-Galaxy-J3-SM-J320F-2016.jpg
11 % off,SAMSUNG TAB 3V (T116),16590,14700,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/57bc23f6d8c88_792015103623AM_635_samsung_galaxy_tab_3_v.jpeg
No off,None,0,0,mobile,None
9 % off,SAMSUNG J200H (J2),12900,11700,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/57bc1e518356c_Samsung Galaxy J2 SM-J200H.jpg
9 % off,SAMSUNG J110H (J1 ACE),9000,8921,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/57bc1cc3771c6_Samsung-Galaxy-Ace-SM-J110H-DD.jpg
9 % off,SAMSUNG G318HZ (ACE NXT 2),9000,8066,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/57bc1a3b8da68_G318HZG318HZ.jpg
74 % off,SAMSUNG B350E (BANYAN),3500,3062,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/57bc16bbb4119_banyan.jpg
No off,SAMSUNG B312E (BRIO),3062,2966,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/57bc138db38dc_samsung-b312ebrio.jpg
5 % off,HUAWEI P8 LITE SMARTPHONE,25999,24798,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/5794803bad612_huawei p8 lite.jpg
7 % off,XIAOMI REDMI 2 PRO GREY SMART PHONE,15999,14898,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/5791f7ab76820_Xiaomi Redmi 2 Pro(grey).jpg
9 % off,XIAOMI MI 4 3GB/16GB WHITE,18999,17299,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/577c9c8f088ba_xiaomi mi4.jpeg
21 % off,GIONEE MARATHON M5 LITE WITH 3 GB RAM AND 32 GB ROM,19950,15799,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/5773b29c1fcf8_Gionee-M5L-32GB-Golden-4G-SDL315370144-1-68f14.jpg
21 % off,XIAOMI REDMI NOTE 3 3GB/32GB DUAL SIM GRAY,29000,22999,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/5773b6a0715c5_xiaomi-4106-2457861-2-zoom (1).jpg
38 % off,IPHONE 6S 64 GB,130000,79999,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/5774b2503ce62_apple-8436-6572761-1-zoom.jpg
1 % off,SAMSUNG GALAXY ALPHA-G850Y,58125,57825,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/5774cf032aa67_galaxy-alpha-official-10_669.jpg
1 % off,SAMSUNG GALAXY S4 (GT-19500),29990,29690,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/5774d0aec3fa4_samsung-galaxy-s-4-i9500-black-mist_317.jpg
3 % off,SAMSUNG GALAXY NOTE 4 - N910H,79887,77687,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/5774d1c198d3d_note4-black_589.jpg
26 % off,SAMSUNG GALAXY J5 - J500H,14999,11098,mobile,https://wholesale.com.np/wholesale_adityaraj_group/public/img/product/5774d33c29881_Galaxy_J5_590.jpg
